Jour,Foret,Essence,Scierie,A
j24,LacDesCaches,Fir,LebelsurQuevillon,64736
j24,LacHolmes,SPF,Senneterre,0
j24,LacHolmes,SPF,LebelsurQuevillon,0
j24,LacHolmes,Fir,Senneterre,0
j24,LacHolmes,Fir,LebelsurQuevillon,0
j25,LacMartin,SPF,Senneterre,0
j25,LacMartin,SPF,LebelsurQuevillon,0
j25,LacMartin,Fir,Senneterre,0
j25,LacMartin,Fir,LebelsurQuevillon,0
j25,LacDesCaches,SPF,Senneterre,11424
j25,LacDesCaches,SPF,LebelsurQuevillon,0
j25,LacDesCaches,Fir,Senneterre,0
j25,LacDesCaches,Fir,LebelsurQuevillon,64736
j25,LacHolmes,SPF,Senneterre,0
j25,LacHolmes,SPF,LebelsurQuevillon,0
j25,LacHolmes,Fir,Senneterre,0
j25,LacHolmes,Fir,LebelsurQuevillon,0
j26,LacMartin,SPF,Senneterre,0
j26,LacMartin,SPF,LebelsurQuevillon,0
j26,LacMartin,Fir,Senneterre,0
j26,LacMartin,Fir,LebelsurQuevillon,0
j26,LacDesCaches,SPF,Senneterre,0
j26,LacDesCaches,SPF,LebelsurQuevillon,0
j26,LacDesCaches,Fir,Senneterre,0
j26,LacDesCaches,Fir,LebelsurQuevillon,0
j26,LacHolmes,SPF,Senneterre,0
j26,LacHolmes,SPF,LebelsurQuevillon,0
j26,LacHolmes,Fir,Senneterre,0
j26,LacHolmes,Fir,LebelsurQuevillon,0
